업체명,업체주소,위도,경도
DH창호,경기도 하남시 춘궁로141번길 22-116 DH창호,,
(주)일하는소리,서울특별시 마포구 월드컵로36길 14 1314호,,
(주)셀핀랩,서울특별시 광진구 능동로 209 327호,,
드림디자인,서울특별시 강남구 봉은사로 326 823호,,
믿음설비,서울특별시 강동구 구천면로47길 68 1층,,
(주)디자인광진,서울특별시 광진구 자양로13길 40 2층,,
함수협동조합,서울특별시 강북구 인수봉로23길 37 1층,,
승인테리어,서울특별시 강북구 오패산로30길 67 1층,,
에이치에스 리모델링,서울특별시 양천구 오목로 155-4 신정레브 308호,,
우주건축,서울특별시 중랑구 면목로78길 9 1층,,
선경	,서울특별시 강북구 삼양로92길 9 1층 좌측,,
인테리어 청인,서울특별시 서대문구 홍연8길 3 1층,,
창민건업,서울특별시 중랑구 동일로102길 37 1층,,
주호금속,서울특별시 서대문구 신촌로11길 12 1층,,
그린상사,서울특별시 도봉구 도당로13길 55 1층,,
지엠에스건설㈜,서울특별시 성북구 장위로33길 7 1층,,
인터엔지니어링,서울특별시 동대문구 망우로20길 83 1층 상가 101호,,
모모 인테리어(아트),"서울특별시 영등포구 여의대방로49길 11 B102호 (신길동, 예림빌라)",,
햇빛기술개발,서울특별시 서대문구 증가로 200-13 지층 1호 (북가좌동),,
187 GARAGE,서울특별시 동대문구 이문로 187 1층,,
어울림토탈인테리어	,서울특별시 마포구 모래내로7안길 30 103동 601호,,
(주)돋움	,경기도 남양주시 순화궁로 578-4 (1-2층),,
(주)지인창호시스템,서울특별시 노원구 동일로184길 9 2층,,
삼성금속,서울특별시 강북구 노해로33길 17 1층 우측,,
탑이레,서울특별시 영등포구 디지털로66길 4 201호,,
(주)아이티티앤디자인,서울특별시 서초구 강남대로8길 40-57 지층,,
태봉종합건축,서울특별시 도봉구 도당로13길 44 1층,,
더원기업,서울특별시 강북구 솔샘로67길 29 1층,,
유한회사 지엔건설산업,서울특별시 강북구 삼양로 274 1층,,
삼화공사,서울특별시 강북구 도봉로27길 98 1층,,
베스트건축,서울특별시 강북구 수유로 42 5층 503호,,
백마설비,서울특별시 금천구 금하로24길 32 1층,,
삶 건축,서울특별시 도봉구 도당로 106 1층,,
대성기업,서울특별시 금천구 독산로47길 14 1층,,
명보건축,서울특별시 서대문구 명지대길 83 202호,,
(주)포시즌기획,서울특별시 광진구 면목로17길 40 205호,,
경은인테리어,경기도 의정부시 신촌로53번길 12 1층 좌측호,,
나누리사회적협동조합,서울특별시 마포구 월드컵로14길 42 비01호,,
제일스틸루프,서울특별시 강북구 오현로 208 상가 7702동 204호,,
삼양종합인테리어,서울특별시 강북구 솔매로 50-1 (미아동),,
제일종합공사,"서울특별시 용산구 회나무로 31-1 2층 상가, 동측에서 3번째",,
경원인테리어,"서울특별시 성동구 고산자로8길 16-1 1층 (행당동, 충실교회)",,
충남공업사,서울특별시 강동구 고덕로24길 46 1층,,
누리종합건축설비,서울특별시 강북구 삼각산로4길 52-3 B-01호,,
미소건축인테리어,"서울특별시 중랑구 동일로 641 대원빌딩, 1층",,
가영엔지니어링,서울특별시 성동구 광나루로11길 17 (송정동),,
세움건설,서울특별시 강서구 화곡로23길 37-1 301호 일부,,
(주)예인건설산업,서울특별시 양천구 가로공원로 128 성지빌딩 2층,,
원(won)건축디자인,경기도 부천시 조마루로97번길 25-16 1층 (상동),,
새집연구소(주),서울특별시 강남구 개포로 508 지하1층,,
(주)지붕과공간칸디자인,"서울특별시 마포구 월드컵로 196 2층, 204호 (성산동, 대명비첸시티오피스텔)",,
주상건설(주),서울특별시 송파구 올림픽로32길 30 4층(하나빌딩),,
성남유리,서울특별시 강북구 삼양로113길 3 1층,,
삼성종합건축,서울특별시 구로구 오류로8길 34 1층 107호,,
큐브,서울특별시 도봉구 덕릉로60길 3-3 1층,,
에이스인테리어,경기도 양평군 개군면 하자포길 27-7 우윤빌리지 6층 602호,,
벧엘새지붕,경기도 양주시 녹양로 220 1층,,
메카이엔씨,서울특별시 도봉구 도당로19가길 10 1층 코너,,
동숭건축,서울특별시 종로구 율곡로25길 17-3 101호(충신동),,
(사)사회안전문화재단,인천광역시 계양구 효서로 137 3층 301호,,
유창,서울특별시 서대문구 경기대로 38-4 B1층,,
디바인플랜 건축사사무소,경기도 시흥시 비둘기공원7길 39 502호,,
만물공사,서울특별시 은평구 응암로21길 8-5 1층,,
집수리학원,"경기도 하남시 미사강변대로 38 6층 609호(풍산동, 위너스프라자)",,
다옴공간,서울특별시 강동구 양재대로95길 19 1층,,
(주)우련건설산업,서울특별시 송파구 백제고분로39길 27 안평빌딩 3층,,
엘도라도 건축,서울특별시 강북구 한천로130길 30 101호,,
(주)퓨처하우징,서울특별시 서초구 사임당로19길 10 3층,,
예원건설,서울특별시 도봉구 방학로 149 1층,,
대흥인테리어,서울특별시 강북구 삼양로97길 23 1층 가운데(수유동),,
삼부건설,서울특별시 성동구 용답29길 41 1층,,
이유건설,경기도 시흥시 수인로3325번길 35-2 1층 이유건설,,
남선AL중구대리점. 삼일공영,경기도 고양시 덕양구 서정로 66-8 1층,,
쓰리에스건설(주),서울특별시 강남구 선릉로91길 14 401호,,
(주)미르내이앤씨,서울특별시 중랑구 면목로72길 17 B01호,,
(주)황용건설,서울특별시 강동구 상암로41길 31 201호,,
기아종합공사,서울특별시 중랑구 중랑천로20길 14 1층,,
성남기업,서울특별시 금천구 금하로11길 17 1층 2호,,
행복짓기 인테리어,서울특별시 서대문구 모래내로 339-1 1층,,
(주)태정이앤에이,서울특별시 은평구 통일로87길 6-5 3층,,
대양상사,서울특별시 강북구 삼양로77가길 25 1층,,
창조인테리어,서울특별시 도봉구 도봉로110아길 5 1층,,
우진설비,"서울특별시 강서구 방화대로7길 30 1층, 좌측",,
영진건설,서울특별시 영등포구 신길로39길 36 1층 2호,,
우리종합공사,서울특별시 서대문구 증가로20길 68-1 1층,,
우리누수탐지,서울특별시 송파구 오금로53길 38 1층 120호(거여동),,
동양금속,서울특별시 서대문구 세검정로1길 44 1층,,
태창설비,서울특별시 성동구 용답중앙13길 3-1 태창설비,,
신화기업,서울특별시 용산구 청파로 323-1 1층 (청파동1가 158),,
칠만표방수제(안양점),경기도 안양시 만안구 안양로 417 1층,,
운화기업,서울특별시 성동구 용답29길 36 1층,,
(주)대흥전력,서울특별시 강북구 도봉로76길 18 지층,,
가야건설전기공사,서울특별시 금천구 시흥대로80길 1 1층,,
아파트빌라옥상방수페인트에폭시우레탄시공전문업체,서울특별시 마포구 희우정로 99-1 1층,,
디자인힘,서울특별시 관악구 행운10길 21 (봉천동),,
160홈즈협동조합,서울특별시 도봉구 도봉로160길 17 1층,,
경서제일전기,서울특별시 강서구 양천로24가길 28-2 1층,,
대성전기통신,서울특별시 중랑구 숙선옹주로 30 1층,,
(주)성창에스씨,"서울특별시 강서구 방화대로5가길 25 1층, 2층 (주)성창에스씨",,
예준인테리어,서울특별시 강동구 구천면로55길 12 지하1층,,
우영건설,서울특별시 구로구 남부순환로105길 154 1층 106호(가리봉동 84-9),,
삼성도장,서울특별시 강북구 인수봉로 249 1층,,
삼삼건축설비,"서울특별시 강북구 솔매로7길 14 1호, 3호",,
참인테리어,서울특별시 은평구 연서로34길 42 동호스카이 상가B101호,,
더불어함께건축 협동조합,"서울특별시 용산구 원효로83길 7-2 5층 1호(원효로1가, 어여재)",,
(주)월드탑크린,서울특별시 도봉구 도봉로159길 30 102호,,
우이지붕공사,서울특별시 강북구 삼양로87가길 3 1층,,
(주)동건,서울특별시 강남구 선릉로112길 52 302호,,
미래데코,서울특별시 동작구 성대로29길 35 지하층 미래인테리어,,
안진기업,서울특별시 관악구 난곡로24길 43 1층 (신림동 650-46),,
(주)부광코리아,서울특별시 강북구 삼양로80길 10 2층 (수유동 57-50),,
백산,서울특별시 금천구 독산로 30 1층 백산건축,,
경일건축인테리어,"서울특별시 은평구 가좌로7길 14 1층 (응암동, 대호)",,
머찐디자인,서울특별시 금천구 은행나무로 20 1층,,
우진,서울특별시 동작구 성대로31길 71 1층(상도동),,
효동건축설비,서울특별시 서대문구 독립문로 40 지하 1-2호 (천연동 46),,
부광기업,서울특별시 구로구 도림로 19 1층,,
협성공사,서울특별시 관악구 국회단지길 56 1층 (봉천동),,
충남특수방수,서울특별시 동작구 사당로16길 82 1호,,
국제종합공사,서울특별시 송파구 동남로28길 31-3 1층,,
동국샤시,서울특별시 동작구 사당로16길 29-7 1층,,
한샘종합인테리어,서울특별시 용산구 신흥로15길 18 1층,,
공간인테리어,서울특별시 구로구 구로동로38길 44 1층,,
삼우건축 인테리어,서울특별시 도봉구 도봉로171길 16 1층 (도봉동),,
충희건축설비,서울특별시 성북구 솔샘로 34 1층 (정릉동 704-33),,
(주)한누리,서울특별시 강동구 천중로15길 36 201호,,
녹색지대 협동조합,서울특별시 서대문구 홍은중앙로8길 5 지층,,
(주)희망하우징,서울특별시 동작구 여의대방로44길 47 208호,,
에이앤큐,서울특별시 은평구 불광천길 410-5 502,,
현대지붕공사,경기도 고양시 덕양구 동산1로 28 402호,,
휴(HUE)디자인,경기도 남양주시 가운로2길 71 맥산빌딩 102호 (다산동 679-5),,
(주)에이치케이컬렉션,경기도 용인시 기흥구 중부대로 579 5층 508-24호 강남대프라자,,
(주)대한주택안전관리,"서울특별시 송파구 법원로9길 26 에이치비지니스파크 C동 1101, 1121호 (문정동)",,
(주) 신우건축,서울특별시 은평구 통일로 908 에이스빌딩 1층 주식회사 신우건축(불광동 483-1),,
람다건축,서울특별시 서초구 동광로 21 ,,
영에이디 인테리어,서울특별시 강북구 인수봉로51길 12 203호,,
한일건축(인테리어),서울특별시 강북구 도봉로67길 77 (미아동),,
